01-Apr-19 15:31:39 - LET THE GAMES BEGIN! API STARTS
01-Apr-19 15:31:39 - ==========================================
01-Apr-19 15:31:39 -  * Debugger is active!
01-Apr-19 15:31:40 -  * Debugger PIN: 116-551-130
01-Apr-19 15:31:40 -  * Running on http://127.0.0.1:8080/ (Press CTRL+C to quit)
01-Apr-19 15:57:27 - 127.0.0.1 - - [01/Apr/2019 15:57:27] "GET /api/v1/reports/filter?Key-terms=operational HTTP/1.1" 200 -
01-Apr-19 15:58:34 - 127.0.0.1 - - [01/Apr/2019 15:58:34] "GET /api/v1/reports/locations/australia HTTP/1.1" 200 -
01-Apr-19 15:58:42 - 127.0.0.1 - - [01/Apr/2019 15:58:42] "GET /api/v1/reports/locations/india HTTP/1.1" 404 -
01-Apr-19 15:58:51 - 127.0.0.1 - - [01/Apr/2019 15:58:51] "GET /api/v1/reports/locations/congo HTTP/1.1" 200 -
01-Apr-19 15:59:26 - 127.0.0.1 - - [01/Apr/2019 15:59:26] "GET /api/v1/reports/locations/%C3%89quateur HTTP/1.1" 200 -
01-Apr-19 16:01:11 - 127.0.0.1 - - [01/Apr/2019 16:01:11] "GET /api/v1/reports/filter?Location=Saudi%20Arabia HTTP/1.1" 200 -
01-Apr-19 16:20:19 - 127.0.0.1 - - [01/Apr/2019 16:20:19] "GET /api/v1/doc/ HTTP/1.1" 200 -
01-Apr-19 16:20:19 - 127.0.0.1 - - [01/Apr/2019 16:20:19] "GET /swaggerui/droid-sans.css HTTP/1.1" 200 -
01-Apr-19 16:20:19 - 127.0.0.1 - - [01/Apr/2019 16:20:19] "GET /swaggerui/swagger-ui.css HTTP/1.1" 200 -
01-Apr-19 16:20:19 - 127.0.0.1 - - [01/Apr/2019 16:20:19] "GET /swaggerui/swagger-ui-standalone-preset.js HTTP/1.1" 200 -
01-Apr-19 16:20:19 - 127.0.0.1 - - [01/Apr/2019 16:20:19] "GET /swaggerui/swagger-ui-bundle.js HTTP/1.1" 200 -
01-Apr-19 16:20:21 - 127.0.0.1 - - [01/Apr/2019 16:20:21] "GET /api/v1/swagger.json HTTP/1.1" 200 -
01-Apr-19 16:20:40 - 127.0.0.1 - - [01/Apr/2019 16:20:40] "GET /api/v1/reports/filter?Start-date=2019-04-01T05%3A20%3A25.262Z&End-date=2019-04-01T05%3A20%3A25.262Z HTTP/1.1" 400 -
01-Apr-19 16:20:48 - 127.0.0.1 - - [01/Apr/2019 16:20:48] "GET /api/v1/reports/filter?Start-date=2019-04-01T05%3A20%3A25.262Z HTTP/1.1" 400 -
01-Apr-19 16:20:59 - 127.0.0.1 - - [01/Apr/2019 16:20:59] "GET /api/v1/reports/filter?End-date=2019-04-01T05%3A20%3A25.262Z HTTP/1.1" 400 -
